Python开发工程师,不限,北京,B轮,罗辑思维,"移动互联网,文化娱乐",15k-30k,朝阳区,"六险一金,大咖云集",150-500人,不限
python开发,大专,杭州,不需要融资,武汉佰钧成技术有限公司,移动互联网,10k-20k,西湖区,"项目大,平台优,技术新,发展好",2000人以上,3-5年
Python工程师,本科,厦门,B轮,笨鸟社交,企业服务,8k-15k,思明区,"高新企业,牛人多,扁平化,五险一金",150-500人,3-5年
Python开发工程师,本科,深圳,上市公司,有鱼智能科技,"移动互联网,金融",10k-20k,福田区,"上市公司,弹性工作制,大牛多,发展空间大",150-500人,1-3年
高级Python工程师,本科,北京,D轮及以上,马蜂窝,"移动互联网,旅游",15k-25k,朝阳区,团队氛围好 平台发展快 数据体系大,500-2000人,3-5年
Python开发工程师,本科,北京,上市公司,联想集团,"移动互联网,数据服务",20k-40k,海淀区,"发展空间大,技术氛围好",2000人以上,5-10年
量化平台研发工程师-python,本科,广州,不需要融资,经传多赢,"移动互联网,金融",12k-24k,番禺区,"技术大牛多,扁平管理,快速兑现",2000人以上,3-5年
Python开发工程师,本科,深圳,上市公司,500.com集团,"移动互联网,电子商务",15k-25k,南山区,氛围轻松,150-500人,3-5年
高级Python开发工程师,大专,北京,C轮,人人行(借贷宝),"移动互联网,金融",25k-40k,朝阳区,"九鼎集团,福利完善,团队大咖",2000人以上,3-5年
Python开发工程师,大专,上海,不需要融资,趣头条,移动互联网,20k-35k,浦东新区,"平均15薪,餐补,六险一金",500-2000人,3-5年
python工程师,本科,北京,A轮,蛋壳公寓,O2O,15k-30k,东城区,领导nice，发展空间大，六险一金,500-2000人,3-5年
Python开发工程师,本科,北京,A轮,摩尔妈妈,移动互联网,20k-40k,朝阳区,"高薪,氛围轻松,环境优越",15-50人,1-3年
Python开发工程师,本科,上海,D轮及以上,华云数据,"移动互联网,数据服务",18k-28k,杨浦区,绩效奖金 年终奖金 交通补贴 餐饮补贴,500-2000人,3-5年
Python 工程师,本科,上海,A轮,果雪科技,移动互联网,15k-30k,闵行区,"技术牛,福利好,氛围好,老板牛",50-150人,3-5年
高级爬虫工程师/python开发,大专,长沙,A轮,连载阅读,"移动互联网,电子商务",10k-15k,岳麓区,"优秀团队,区块链",15-50人,3-5年
Python开发,本科,深圳,C轮,航仕科技,"移动互联网,O2O",20k-35k,南山区,BAT的薪资福利待遇，更有技术大牛传授技术,150-500人,3-5年
Python开发工程师,本科,广州,不需要融资,武汉佰钧成技术有限公司,移动互联网,8k-13k,天河区,"上市外企,弹性工作,大数据,云平台",2000人以上,1-3年
python工程师,本科,深圳,A轮,Minieye,"硬件,其他",15k-30k,南山区,"无人驾驶,车厂合作,扁平化管理,股票期权",50-150人,1-3年
python工程师,本科,上海,上市公司,拍拍贷,金融,12k-24k,浦东新区,晋升空间大、福利好,2000人以上,3-5年
Python开发工程师,本科,北京,B轮,缔联科技,企业服务,10k-20k,海淀区,"周末双休,法定节假日,六险一金,年底双薪",15-50人,3-5年
高级工程师-Python,本科,北京,上市公司,Veeva,"移动互联网,企业服务",25k-35k,朝阳区,"纽交所上市,SaaS,生命科学,CRM",500-2000人,5-10年
Python系统开发工程师,本科,北京,B轮,聚宽 JoinQuant,"金融,数据服务",15k-30k,朝阳区,"六险一金,灵活工作制,技术分享,晋升渠道",50-150人,1-3年
Python开发,本科,北京,B轮,罗辑思维,"移动互联网,文化娱乐",15k-30k,朝阳区,"六险一金,年度体检,弹性工作,大咖云集",150-500人,1-3年
Python工程师,本科,广州,不需要融资,广州荔枝网络有限公司,"移动互联网,文化娱乐",5k-10k,越秀区,"互联网大牛,年轻团队,福利优厚,发展前景好",150-500人,1-3年
Python软件开发工程师,本科,上海,不需要融资,坤亿科技,"电子商务,企业服务",15k-18k,浦东新区,"五险一金,周末双休,弹性工作,绩效奖金",50-150人,3-5年
Python,本科,上海,A轮,亿可能源,"移动互联网,数据服务",15k-30k,杨浦区,技术大牛,15-50人,3-5年
Python开发工程师,大专,广州,A轮,AI考拉,金融,10k-16k,海珠区,股票期权 发展空间大 福利待遇好 周末双休,50-150人,1-3年
Python开发工程师,本科,北京,A轮,猎户星空,"移动互联网,硬件",18k-35k,朝阳区,牛人云集，优质福利,150-500人,3-5年
python开发工程师,本科,北京,未融资,东信北邮,"移动互联网,其他",10k-15k,海淀区,"五险一金,年终奖,绩效奖,假期多",500-2000人,1-3年
Python工程师,本科,广州,上市公司,有米科技,"移动互联网,广告营销",15k-25k,番禺区,"六险一金,年度旅游,项目奖金",500-2000人,1-3年
Python研发工程师,本科,北京,上市公司,宜信,金融,25k-40k,朝阳区,"发展空间大,技术氛围好,薪资福利好,带薪年假",2000人以上,5-10年
python工程师,本科,上海,上市公司,拍拍贷,金融,12k-24k,浦东新区,晋升空间大、福利好,2000人以上,3-5年
Python工程师,大专,杭州,不需要融资,武汉佰钧成技术有限公司,移动互联网,10k-18k,余杭区,"云平台,大平台,牛人,新技术",2000人以上,1-3年
python,本科,北京,不需要融资,思源科技,"移动互联网,社交网络",20k-30k,朝阳区,"云,大数据,AI",2000人以上,5-10年
Python开发工程师,本科,北京,B轮,Yi+,移动互联网,15k-30k,海淀区,"绩效奖金,弹性工作,技术大牛,晋升空间",50-150人,3-5年
Python高级开发工程师,本科,上海,D轮及以上,爱奇艺,"广告营销,文化娱乐",15k-30k,长宁区,发展前景好,2000人以上,不限
Python 研发工程师,本科,深圳,A轮,实验楼,"教育,数据服务",8k-16k,南山区,"技术氛围,在线教育,最新技术",15-50人,1-3年
Python开发工程师（微软）,本科,北京,不需要融资,微创,"移动互联网,电子商务",10k-15k,海淀区,"六险一金,带薪病假,节假日福利,技术氛围浓",2000人以上,3-5年
python开发工程师,本科,北京,C轮,今日头条,"移动互联网,数据服务",20k-35k,海淀区,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，团队氛围好，优厚薪资,2000人以上,1-3年
Python开发工程师,本科,北京,C轮,智融集团,金融,20k-40k,海淀区,"文化开放,弹性不打卡,发展快速,上升空间",150-500人,3-5年
Python,本科,深圳,A轮,乐易网络,"移动互联网,游戏",15k-30k,南山区,"海外手游,鹅厂大神,高配团队",150-500人,3-5年
